,Symbol,Identifier,Company,ISIN
263,LAURUSLABS,LAURUSLABSEQN,Laurus Labs Limited,INE947Q01028
264,LTF,LTFEQN,L&T Finance Limited,INE498L01015
265,BALKRISIND,BALKRISINDEQN,Balkrishna Industries Limited,INE787D01026
266,INDHOTEL,INDHOTELEQN,The Indian Hotels Company Limited,INE053A13016
267,JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018
268,BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014
269,GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039
270,NMDC,NMDCEQN,NMDC Limited,INE584A01023
271,OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010
272,SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011
273,ATUL,ATULEQN,Atul Limited,INE100A01010
274,DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020
275,SCHAEFFLER,SCHAEFFLEREQN,Schaeffler India Limited,INE513A01022
276,RAMCOCEM,RAMCOCEMEQN,The Ramco Cements Limited,INE331A01037
277,FLUOROCHEM,FLUOROCHEMEQN,Gujarat Fluorochemicals Limited,INE09N301011
278,AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017
279,LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026
280,ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013
281,TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010
282,TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013
283,KEI,KEIEQN,KEI Industries Limited,INE878B01027
284,AIAENG,AIAENGEQN,AIA Engineering Limited,INE212H01026
285,UPL,UPLEQN,UPL Limited,INE628A03016
286,LLOYDSME,LLOYDSMEEQN,Lloyds Metals And Energy Limited,INE281B01032
287,IDBI,IDBIEQN,IDBI Bank Limited,INE008A08267
288,POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C07698
289,SUPREMEIND,SUPREMEINDEQN,Supreme Industries Limited,INE195A01028
290,CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025
291,DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025
292,ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014
293,NHPC,NHPCEQN,NHPC Limited,INE848E07542
294,LUPIN,LUPINEQN,Lupin Limited,INE326A01037
295,UNOMINDA,UNOMINDAEQN,UNO Minda Limited,INE405E01023
296,THERMAX,THERMAXEQN,Thermax Limited,INE152A01029
297,MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010
298,APOLLOTYRE,APOLLOTYREEQN,Apollo Tyres Limited,INE438A01022
299,MUTHOOTFIN,MUTHOOTFINEQN,Muthoot Finance Limited,INE414G07241
300,ASTRAL,ASTRALEQN,Astral Limited,INE006I01046
301,VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021
302,GRINDWELL,GRINDWELLEQN,Grindwell Norton Limited,INE536A01023
303,TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012
304,CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020
305,IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038
306,ZEEL,ZEELEQN,Zee Entertainment Enterprises Limited,INE256A04022
307,PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014
308,ZFCVINDIA,ZFCVINDIAEQN,ZF Commercial Vehicle Control Systems India Limited,INE342J01019
309,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014
310,ABBOTINDIA,ABBOTINDIAEQN,Abbott India Limited,INE358A01014
311,METROBRAND,METROBRANDEQN,Metro Brands Limited,INE317I01021
312,KPRMILL,KPRMILLEQN,K.P.R. Mill Limited,INE930H01031
