title,url,type
Action taken against Cong MLAs who cross-voted in Maharashtra council polls: KC Venugopal,https://www.moneycontrol.com/news/politics/action-taken-against-cong-mlas-who-cross-voted-in-maharashtra-council-polls-kc-venugopal-12773200.html,Politics
AAP to contest all 90 assembly seats in Haryana: Sanjay Singh,https://www.moneycontrol.com/news/politics/aap-to-contest-all-90-assembly-seats-in-haryana-sanjay-singh-12772104.html,Politics
US: Robert Menendez conviction is a rare win against public corruption,https://www.moneycontrol.com/news/opinion/us-robert-menendez-conviction-is-a-rare-win-against-public-corruption-12771988.html,Politics
We will contest 2026 assembly polls as part of united opposition: Assam Cong chief,https://www.moneycontrol.com/news/politics/we-will-contest-2026-assembly-polls-as-part-of-united-opposition-assam-cong-chief-12771939.html,Politics
Investors grapple with the Trump trade,https://www.moneycontrol.com/news/opinion/investors-grapple-with-the-trump-trade-12771852.html,Politics
'One who eats beef ...': Rajasthan BJP chief's veiled dig at Rahul Gandhi,https://www.moneycontrol.com/news/india/one-who-eats-beef-rajasthan-bjp-chiefs-veiled-dig-at-rahul-gandhi-12771738.html,Politics
Karnataka's Job Reservation Scheme: A recipe for Balkanization?,https://www.moneycontrol.com/news/opinion/karnatakas-job-reservation-scheme-a-recipe-for-balkanization-12771670.html,Politics
Telangana CM Revanth Reddy announces farm loan waiver details,https://www.moneycontrol.com/news/india/telangana-cm-revanth-reddy-announces-farm-loan-waiver-details-12771625.html,Politics
'Everyone has a place...': What Sharad Pawar said on nephew Ajit's likely return,https://www.moneycontrol.com/news/india/everyone-has-a-place-what-sharad-pawar-said-on-nephew-ajits-likely-return-12771433.html,Politics
"'Minority morcha is ....': Bengal LoP Suvendu Adhikari departs from BJP's Sabka Saath, Sabka Vikas",https://www.moneycontrol.com/news/india/minority-morcha-is-bengal-lop-suvendu-adhikari-departs-from-bjps-sabka-saath-sabka-vikas-12771135.html,Politics
"Looking for a chink in Mamata’s armour, BJP tilts towards a woman to lead West Bengal charge",https://www.moneycontrol.com/news/opinion/looking-for-a-chink-in-mamatas-armour-bjp-tilts-towards-a-woman-to-lead-west-bengal-charge-12770815.html,Politics
"Centre's all-party meeting ahead of monsoon session: Rahul to attend as LoP, Mamata may skip",https://www.moneycontrol.com/news/india/govt-calls-all-party-meeting-ahead-of-monsoon-session-rahul-gandhis-first-attendance-expected-12770470.html,Politics
"Karnataka: ‘Scams’ dampen Siddaramaiah's spirits, BJP demands CM’s resignation",https://www.moneycontrol.com/news/opinion/karnataka-scams-dampen-siddaramaiahs-spirits-bjp-demands-cms-resignation-12770361.html,Politics
JD Vance is red meat for Donald Trump’s MAGA base,https://www.moneycontrol.com/news/opinion/jd-vance-is-red-meat-for-donald-trumps-maga-base-12770317.html,Politics
SIT formed to probe murder of INDIA bloc ally Mukesh Sahani's father,https://www.moneycontrol.com/news/india/vip-chief-mukesh-sahanis-father-brutally-murdered-in-bihars-darbhanga-12770035.html,Politics
BJP's tally falls below 90 in Rajya Sabha but set to rise after bypolls,https://www.moneycontrol.com/news/politics/bjps-tally-falls-below-90-in-rajya-sabha-but-set-to-rise-after-bypolls-12769800.html,Politics
'Betrayal is the greatest .....': Jyotirmath Shankaracharya comes out in support of Uddhav Thackeray,https://www.moneycontrol.com/news/india/betrayal-is-the-greatest-jyotirmath-shankaracharya-comes-out-in-support-of-uddhav-thackeray-12769775.html,Politics
"Trading Plan: Will Nifty, Bank Nifty see more selling pressure ahead of budget day?",https://www.moneycontrol.com/news/business/markets/trading-plan-will-nifty-bank-nifty-see-more-selling-pressure-ahead-of-budget-day-12773747.html,Market
Netweb Technologies Q1 profit jumps over 3-fold to Rs 15.4 crore,https://www.moneycontrol.com/news/business/earnings/netweb-technologies-q1-profit-jumps-over-3-fold-to-rs-15-4-crore-12773805.html,Market
"HDFC Bank greenlights HDB Financial Services IPO, explores additional stake sale",https://www.moneycontrol.com/news/business/markets/hdfc-bank-greenlights-hdb-financial-services-ipo-explores-additional-stake-sale-12773768.html,Market
"Agricultural seasonality hurt asset quality in Q1FY25, says HDFC Bank",https://www.moneycontrol.com/news/business/earnings/agricultural-seasonality-hurt-asset-quality-in-q1fy25-says-hdfc-bank-12773745.html,Market
"Digital curbs impact Kotak Bank's unsecured loan book growth, margin in Q1FY25",https://www.moneycontrol.com/news/business/markets/digital-curbs-impact-kotak-banks-unsecured-loan-book-growth-margin-in-q1fy25-12773719.html,Market
"Budget 2024: Gaming, alcohol and tobacco firms hope for favourable tax treatment",https://www.moneycontrol.com/news/business/markets/budget-2024-gaming-alcohol-and-tobacco-firms-hope-for-favourable-tax-treatment-12773723.html,Market
JK Cement Q1 net profit surges 67% to Rs 184.82 crore,https://www.moneycontrol.com/news/business/earnings/jk-cement-q1-net-profit-surges-67-to-rs-184-82-crore-12773717.html,Market
"HDFC Bank Q1 results| PAT rises 35% on-year to Rs 16,174.75 crore",https://www.moneycontrol.com/news/business/hdfc-bank-q1-results-pat-rises-35-on-year-to-rs-16174-75-crore-12773655.html,Market
"Kotak Mahindra Bank Q1 results: Net profit rises 81% to Rs 6,250 crore, boosted by stake sale in insurance subsidiary",https://www.moneycontrol.com/news/business/earnings/kotak-mahindra-bank-q1-results-net-profit-rises-81-to-rs-6250-crore-beating-market-estimates-12773601.html,Market
YES Bank Q1 results: PAT rises 47% on-year to Rs 502 crore,https://www.moneycontrol.com/news/business/earnings/yes-bank-q1-results-pat-rises-47-on-year-to-rs-502-crore-12773638.html,Market
Q1 results: Infosys grows fastest among top four Indian IT companies,https://www.moneycontrol.com/technology/top-gun-infosys-soars-past-big-four-it-rivals-in-q1fy25-growth-article-12773585.html,Market
"Budget Buzz: Quantum AMC’s Chirag Mehta expects a populist budget, airs his MF tax wish list",https://www.moneycontrol.com/news/business/markets/budget-buzz-quantum-amcs-chirag-mehta-expects-a-populist-budget-airs-his-mf-tax-wishlist-12773526.html,Market
"RBL Bank Q1 results: Net profit rises 29% to Rs 372 crore, asset quality remains healthy",https://www.moneycontrol.com/news/business/earnings/rbl-bank-q1-results-net-profit-rises-29-to-rs-372-crore-asset-quality-remains-healthy-12773613.html,Market
