Symbol,Identifier,Company,ISIN,Sector,Processed_Company
JKCEMENT,JKCEMENTEQN,JK Cement Limited,INE823G01014,NIFTY MIDCAP 150,jk cement
SCHAEFFLER,SCHAEFFLEREQN,Schaeffler India Limited,INE513A01022,NIFTY MIDCAP 150,schaeffler india
ENDURANCE,ENDURANCEEQN,Endurance Technologies Limited,INE913H01037,NIFTY MIDCAP 150,endurance technologies
ISEC,ISECEQN,ICICI Securities Limited,INE763G01038,NIFTY MIDCAP 150,icici securities
AWL,AWLEQN,Adani Wilmar Limited,INE699H01024,NIFTY MIDCAP 150,adani wilmar
KAJARIACER,KAJARIACEREQN,Kajaria Ceramics Limited,INE217B01036,NIFTY MIDCAP 150,kajaria ceramics
BATAINDIA,BATAINDIAEQN,Bata India Limited,INE176A01028,NIFTY MIDCAP 150,bata india
ABBOTINDIA,ABBOTINDIAEQN,Abbott India Limited,INE358A01014,NIFTY MIDCAP 150,abbott india
KEI,KEIEQN,KEI Industries Limited,INE878B01027,NIFTY MIDCAP 150,kei industries
BAYERCROP,BAYERCROPEQN,Bayer Cropscience Limited,INE462A01022,NIFTY MIDCAP 150,bayer cropscience
CRISIL,CRISILEQN,CRISIL Limited,INE007A01025,NIFTY MIDCAP 150,crisil
3MINDIA,3MINDIAEQN,3M India Limited,INE470A01017,NIFTY MIDCAP 150,3m india
PGHH,PGHHEQN,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,NIFTY MIDCAP 150,procter gamble hygiene and health care
RAMCOCEM,RAMCOCEMEQN,The Ramco Cements Limited,INE331A01037,NIFTY MIDCAP 150,the ramco cements
HONAUT,HONAUTEQN,Honeywell Automation India Limited,INE671A01010,NIFTY MIDCAP 150,honeywell automation india
MANYAVAR,MANYAVAREQN,Vedant Fashions Limited,INE825V01034,NIFTY MIDCAP 150,vedant fashions
AIAENG,AIAENGEQN,AIA Engineering Limited,INE212H01026,NIFTY MIDCAP 150,aia engineering
UNOMINDA,UNOMINDAEQN,UNO Minda Limited,INE405E01023,NIFTY MIDCAP 150,uno minda
UBL,UBLEQN,United Breweries Limited,INE686F01025,NIFTY MIDCAP 150,united breweries
GODREJIND,GODREJINDEQN,Godrej Industries Limited,INE233A01035,NIFTY MIDCAP 150,godrej industries
AJANTPHARM,AJANTPHARMEQN,Ajanta Pharma Limited,INE031B01049,NIFTY MIDCAP 150,ajanta pharma
SKFINDIA,SKFINDIAEQN,SKF India Limited,INE640A01023,NIFTY MIDCAP 150,skf india
KANSAINER,KANSAINEREQN,Kansai Nerolac Paints Limited,INE531A01024,NIFTY MIDCAP 150,kansai nerolac paints
GRINDWELL,GRINDWELLEQN,Grindwell Norton Limited,INE536A01023,NIFTY MIDCAP 150,grindwell norton
COROMANDEL,COROMANDELEQN,Coromandel International Limited,INE169A08010,NIFTY MIDCAP 150,coromandel international
KPRMILL,KPRMILLEQN,K.P.R. Mill Limited,INE930H01031,NIFTY MIDCAP 150,kpr mill
SUNDRMFAST,SUNDRMFASTEQN,Sundram Fasteners Limited,INE387A01021,NIFTY MIDCAP 150,sundram fasteners
METROBRAND,METROBRANDEQN,Metro Brands Limited,INE317I01021,NIFTY MIDCAP 150,metro brands
CARBORUNIV,CARBORUNIVEQN,Carborundum Universal Limited,INE120A01034,NIFTY MIDCAP 150,carborundum universal
GLAXO,GLAXOEQN,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,NIFTY MIDCAP 150,glaxosmithkline pharmaceuticals
SOLARINDS,SOLARINDSEQN,Solar Industries India Limited,INE343H01029,NIFTY MIDCAP 150,solar industries india
