,Symbol,Identifier,Company,ISIN,Sector
164,JSWENERGY,JSWENERGYEQN,JSW Energy Limited,INE121E01018,NIFTY MIDCAP 100
165,BANDHANBNK,BANDHANBNKEQN,Bandhan Bank Limited,INE545U01014,NIFTY MIDCAP 100
166,GMRINFRA,GMRINFRAEQN,GMR Airports Infrastructure Limited,INE776C01039,NIFTY MIDCAP 100
167,NMDC,NMDCEQN,NMDC Limited,INE584A01023,NIFTY MIDCAP 100
168,OBEROIRLTY,OBEROIRLTYEQN,Oberoi Realty Limited,INE093I01010,NIFTY MIDCAP 100
169,SAIL,SAILEQN,Steel Authority of India Limited,INE114A01011,NIFTY MIDCAP 100
170,DIXON,DIXONEQN,Dixon Technologies (India) Limited,INE935N01020,NIFTY MIDCAP 100
171,AUBANK,AUBANKEQN,AU Small Finance Bank Limited,INE949L01017,NIFTY MIDCAP 100
172,LICHSGFIN,LICHSGFINEQN,LIC Housing Finance Limited,INE115A01026,NIFTY MIDCAP 100
173,ABCAPITAL,ABCAPITALEQN,Aditya Birla Capital Limited,INE674K01013,NIFTY MIDCAP 100
174,TIINDIA,TIINDIAEQN,Tube Investments of India Limited,INE974X01010,NIFTY MIDCAP 100
175,TATACOMM,TATACOMMEQN,Tata Communications Limited,INE151A01013,NIFTY MIDCAP 100
176,UPL,UPLEQN,UPL Limited,INE628A03016,NIFTY MIDCAP 100
177,IDBI,IDBIEQN,IDBI Bank Limited,INE008A08267,NIFTY MIDCAP 100
178,POONAWALLA,POONAWALLAEQN,Poonawalla Fincorp Limited,INE511C07698,NIFTY MIDCAP 100
179,SUPREMEIND,SUPREMEINDEQN,Supreme Industries Limited,INE195A01028,NIFTY MIDCAP 100
180,CONCOR,CONCOREQN,Container Corporation of India Limited,INE111A01025,NIFTY MIDCAP 100
181,DALBHARAT,DALBHARATEQN,Dalmia Bharat Limited,INE00R701025,NIFTY MIDCAP 100
182,ALKEM,ALKEMEQN,Alkem Laboratories Limited,INE540L01014,NIFTY MIDCAP 100
183,NHPC,NHPCEQN,NHPC Limited,INE848E07542,NIFTY MIDCAP 100
184,LUPIN,LUPINEQN,Lupin Limited,INE326A01037,NIFTY MIDCAP 100
185,MAXHEALTH,MAXHEALTHEQN,Max Healthcare Institute Limited,INE027H01010,NIFTY MIDCAP 100
186,APOLLOTYRE,APOLLOTYREEQN,Apollo Tyres Limited,INE438A01022,NIFTY MIDCAP 100
187,ASTRAL,ASTRALEQN,Astral Limited,INE006I01046,NIFTY MIDCAP 100
188,VOLTAS,VOLTASEQN,Voltas Limited,INE226A01021,NIFTY MIDCAP 100
189,TATACHEM,TATACHEMEQN,Tata Chemicals Limited,INE344201012,NIFTY MIDCAP 100
190,CUMMINSIND,CUMMINSINDEQN,Cummins India Limited,INE298A01020,NIFTY MIDCAP 100
191,IPCALAB,IPCALABEQN,IPCA Laboratories Limited,INE571A01038,NIFTY MIDCAP 100
192,ZEEL,ZEELEQN,Zee Entertainment Enterprises Limited,INE256A04022,NIFTY MIDCAP 100
193,PETRONET,PETRONETEQN,Petronet LNG Limited,INE347G01014,NIFTY MIDCAP 100
194,ESCORTS,ESCORTSEQN,Escorts Kubota Limited,INE042A01014,NIFTY MIDCAP 100
195,LALPATHLAB,LALPATHLABEQN,Dr. Lal Path Labs Ltd.,INE600L01024,NIFTY MIDCAP 100
196,AUROPHARMA,AUROPHARMAEQN,Aurobindo Pharma Limited,INE406A01037,NIFTY MIDCAP 100
197,BIOCON,BIOCONEQN,Biocon Limited,INE376G01013,NIFTY MIDCAP 100
198,PATANJALI,PATANJALIEQN,Patanjali Foods Limited,INE619A01035,NIFTY MIDCAP 100
199,ACC,ACCEQN,ACC Limited,INE012A01025,NIFTY MIDCAP 100
200,INDIANB,INDIANBEQN,Indian Bank,INE562A01011,NIFTY MIDCAP 100
201,POLYCAB,POLYCABEQN,Polycab India Limited,INE455K01017,NIFTY MIDCAP 100
202,TORNTPOWER,TORNTPOWEREQN,Torrent Power Limited,INE813H01021,NIFTY MIDCAP 100
203,BHEL,BHELEQN,Bharat Heavy Electricals Limited,INE257A01026,NIFTY MIDCAP 100
204,APLAPOLLO,APLAPOLLOEQN,APL Apollo Tubes Limited,INE702C01027,NIFTY MIDCAP 100
205,TATAELXSI,TATAELXSIEQN,Tata Elxsi Limited,INE670A01012,NIFTY MIDCAP 100
206,IGL,IGLEQN,Indraprastha Gas Limited,INE203G01027,NIFTY MIDCAP 100
207,MAHABANK,MAHABANKEQN,Bank of Maharashtra,INE457A01014,NIFTY MIDCAP 100
208,ABFRL,ABFRLEQN,Aditya Birla Fashion and Retail Limited,INE647O13016,NIFTY MIDCAP 100
209,M&MFIN,M&MFINEQN,Mahindra & Mahindra Financial Services Limited,INE774D08MG3,NIFTY MIDCAP 100
210,PERSISTENT,PERSISTENTEQN,Persistent Systems Limited,INE262H01021,NIFTY MIDCAP 100
211,FORTIS,FORTISEQN,Fortis Healthcare Limited,INE061F13018,NIFTY MIDCAP 100
212,YESBANK,YESBANKEQN,Yes Bank Limited,INE528G01035,NIFTY MIDCAP 100
213,POLICYBZR,POLICYBZREQN,PB Fintech Limited,INE417T01026,NIFTY MIDCAP 100
214,SUZLON,SUZLONEQN,Suzlon Energy Limited,INE040H01021,NIFTY MIDCAP 100
215,GODREJPROP,GODREJPROPEQN,Godrej Properties Limited,INE484J01027,NIFTY MIDCAP 100
216,FACT,FACTEQN,Fertilizers and Chemicals Travancore Limited,INE188A01015,NIFTY MIDCAP 100
217,HINDPETRO,HINDPETROEQN,Hindustan Petroleum Corporation Limited,INE169701013,NIFTY MIDCAP 100
218,GLAND,GLANDEQN,Gland Pharma Limited,INE068V01023,NIFTY MIDCAP 100
219,MFSL,MFSLEQN,Max Financial Services Limited,INE180A01020,NIFTY MIDCAP 100
220,KPITTECH,KPITTECHEQN,KPIT Technologies Limited,INE04I401011,NIFTY MIDCAP 100
221,SUNTV,SUNTVEQN,Sun TV Network Limited,INE424H01027,NIFTY MIDCAP 100
222,HDFCAMC,HDFCAMCEQN,HDFC Asset Management Company Limited,INE127D01025,NIFTY MIDCAP 100
223,MRF,MRFEQN,MRF Limited,INE883A01011,NIFTY MIDCAP 100
224,UNIONBANK,UNIONBANKEQN,Union Bank of India,INE692A01016,NIFTY MIDCAP 100
225,NYKAA,NYKAAEQN,FSN E-Commerce Ventures Limited,INE388Y01029,NIFTY MIDCAP 100
226,COFORGE,COFORGEEQN,Coforge Limited,INE591G01017,NIFTY MIDCAP 100
227,LTTS,LTTSEQN,L&T Technology Services Limited,INE010V01017,NIFTY MIDCAP 100
228,BDL,BDLEQN,Bharat Dynamics Limited,INE171Z01026,NIFTY MIDCAP 100
229,BANKINDIA,BANKINDIAEQN,Bank of India,INE084A01016,NIFTY MIDCAP 100
230,CGPOWER,CGPOWEREQN,CG Power and Industrial Solutions Limited,INE067A01029,NIFTY MIDCAP 100
231,JUBLFOOD,JUBLFOODEQN,Jubilant Foodworks Limited,INE797F01020,NIFTY MIDCAP 100
232,LODHA,LODHAEQN,Macrotech Developers Limited,INE670K01029,NIFTY MIDCAP 100
233,PAGEIND,PAGEINDEQN,Page Industries Limited,INE761H01022,NIFTY MIDCAP 100
234,MAZDOCK,MAZDOCKEQN,Mazagon Dock Shipbuilders Limited,INE249Z01012,NIFTY MIDCAP 100
235,GUJGASLTD,GUJGASLTDEQN,Gujarat Gas Limited,INE844O01030,NIFTY MIDCAP 100
236,TATATECH,TATATECHEQN,Tata Technologies Limited,INE142M01025,NIFTY MIDCAP 100
237,IDFCFIRSTB,IDFCFIRSTBEQN,IDFC First Bank Limited,INE092T08CP8,NIFTY MIDCAP 100
238,OFSS,OFSSEQN,Oracle Financial Services Software Limited,INE881D01027,NIFTY MIDCAP 100
239,SYNGENE,SYNGENEEQN,Syngene International Limited,INE398R01022,NIFTY MIDCAP 100
240,JSWINFRA,JSWINFRAEQN,JSW Infrastructure Limited,INE880J01026,NIFTY MIDCAP 100
241,BSE,BSEEQN,BSE Limited,INE118H01025,NIFTY MIDCAP 100
242,KALYANKJIL,KALYANKJILEQN,Kalyan Jewellers India Limited,INE303R01014,NIFTY MIDCAP 100
243,DEEPAKNTR,DEEPAKNTREQN,Deepak Nitrite Limited,INE288B01029,NIFTY MIDCAP 100
244,SONACOMS,SONACOMSEQN,Sona BLW Precision Forgings Limited,INE073K01018,NIFTY MIDCAP 100
245,OIL,OILEQN,Oil India Limited,INE274J01014,NIFTY MIDCAP 100
246,PRESTIGE,PRESTIGEEQN,Prestige Estates Projects Limited,INE811K01011,NIFTY MIDCAP 100
247,FEDERALBNK,FEDERALBNKEQN,The Federal Bank  Limited,INE171A01029,NIFTY MIDCAP 100
248,RVNL,RVNLEQN,Rail Vikas Nigam Limited,INE415G01027,NIFTY MIDCAP 100
249,MANKIND,MANKINDEQN,Mankind Pharma Limited,INE634S01028,NIFTY MIDCAP 100
250,NIACL,NIACLEQN,The New India Assurance Company Limited,INE470Y01017,NIFTY MIDCAP 150
251,PAYTM,PAYTMEQN,One 97 Communications Limited,INE982J01020,NIFTY MIDCAP 150
252,GICRE,GICREEQN,General Insurance Corporation of India,INE481Y01014,NIFTY MIDCAP 150
253,SOLARINDS,SOLARINDSEQN,Solar Industries India Limited,INE343H01029,NIFTY MIDCAP 150
254,BHARATFORG,BHARATFORGEQN,Bharat Forge Limited,INE465A13020,NIFTY MIDCAP 150
255,MPHASIS,MPHASISEQN,MphasiS Limited,INE356A01018,NIFTY MIDCAP 150
256,ASHOKLEY,ASHOKLEYEQN,Ashok Leyland Limited,INE208A01029,NIFTY MIDCAP 150
257,PEL,PELEQN,Piramal Enterprises Limited,INE140A01024,NIFTY MIDCAP 150
258,IDEA,IDEAEQN,Vodafone Idea Limited,INE669E01016,NIFTY MIDCAP 150
259,PIIND,PIINDEQN,PI Industries Limited,INE603J01030,NIFTY MIDCAP 150
260,INDUSTOWER,INDUSTOWEREQN,Indus Towers Limited,INE121J01017,NIFTY MIDCAP 150
261,SJVN,SJVNEQN,SJVN Limited,INE002L01015,NIFTY MIDCAP 150
